listing_id,date
73639,2013-11-17
73639,2013-11-20
73639,2013-11-22
73639,2013-11-24
73639,2013-11-28
73639,2013-12-06
73639,2013-12-08
73639,2013-12-11
73639,2013-12-18
73639,2013-12-23
73639,2014-01-07
73639,2014-01-13
73639,2014-01-21
73639,2014-01-26
73639,2014-01-28
73639,2014-01-31
73639,2014-02-04
73639,2014-02-10
73639,2014-02-28
73639,2014-03-06
73639,2014-03-16
73639,2014-03-21
73639,2014-03-26
73639,2014-04-13
73639,2014-04-22
73639,2014-05-27
73639,2014-05-30
73639,2014-06-06
73639,2014-06-15
73639,2014-06-17
73639,2014-06-23
73639,2014-07-16
73639,2014-07-22
73639,2014-07-29
73639,2014-08-01
73639,2014-08-07
73639,2014-08-12
73639,2014-08-24
73639,2014-08-27
73639,2014-08-31
73639,2014-09-03
73639,2014-09-07
73639,2014-09-18
73639,2014-09-21
73639,2014-09-23
73639,2014-09-25
73639,2014-09-30
73639,2014-10-04
73639,2014-10-12
73639,2014-10-17
73639,2014-10-24
73639,2014-10-25
73639,2014-10-31
73639,2014-11-03
73639,2014-11-07
73639,2014-11-12
73639,2014-11-19
73639,2014-11-21
73639,2014-11-24
73639,2014-11-25
73639,2014-11-28
73639,2014-12-06
73639,2014-12-22
73639,2014-12-31
73639,2015-01-02
73639,2015-01-06
73639,2015-01-11
73639,2015-01-17
73639,2015-01-25
73639,2015-01-27
73639,2015-02-06
73639,2015-02-09
73639,2015-02-13
73639,2015-02-16
73639,2015-03-03
73639,2015-03-06
73639,2015-03-08
73639,2015-03-12
73639,2015-03-15
73639,2015-03-19
73639,2015-03-22
73639,2015-04-08
73639,2015-06-25
73639,2015-07-16
73639,2015-07-20
73639,2015-07-26
73639,2015-08-01
73639,2015-08-17
73639,2015-09-02
73639,2015-09-14
4319535,2014-12-16
4319535,2014-12-16
4319535,2015-01-03
4319535,2015-01-10
4319535,2015-01-13
4319535,2015-03-24
4319535,2015-04-09
4319535,2015-06-03
4319535,2015-06-25
4319535,2015-09-30
4842292,2015-01-01
7148443,2015-07-20
7148443,2015-07-26
7148443,2015-07-31
7148443,2015-08-15
7148443,2015-08-17
7148443,2015-08-29
7148443,2015-09-07
7148443,2015-09-11
7148443,2015-09-15
7148443,2015-09-23
7148443,2015-09-25
5222828,2015-09-27
5542592,2015-03-08
5542592,2015-03-15
5542592,2015-03-17
5542592,2015-03-19
5542592,2015-03-20
5542592,2015-04-05
5542592,2015-05-12
5542592,2015-05-24
5542592,2015-05-31
5542592,2015-06-07
5542592,2015-06-14
5542592,2015-08-23
5542592,2015-09-12
5920087,2015-06-14
5920087,2015-06-29
5920087,2015-09-10
1851485,2014-01-01
1851485,2014-05-22
1851485,2015-01-02
1851485,2015-08-14
3321966,2014-08-18
3321966,2014-09-01
3321966,2014-09-16
3321966,2014-09-28
3321966,2014-09-29
3321966,2014-10-18
3321966,2014-10-21
3321966,2014-10-27
3321966,2014-11-02
3321966,2014-11-03
3321966,2014-11-08
3321966,2014-11-10
3321966,2014-11-23
3321966,2014-12-24
3321966,2015-01-11
3321966,2015-02-25
3321966,2015-03-16
3321966,2015-03-24
3321966,2015-04-12
3321966,2015-06-29
3321966,2015-07-07
3321966,2015-07-20
3321966,2015-08-24
3321966,2015-08-28
3321966,2015-08-31
3321966,2015-09-14
3321966,2015-09-21
3321966,2015-09-29
7903207,2015-08-30
2908693,2014-06-11
2908693,2014-10-07
2908693,2014-10-26
2908693,2014-11-06
2908693,2014-12-03
2908693,2014-12-22
2908693,2015-01-04
2908693,2015-02-14
2908693,2015-03-01
2908693,2015-03-08
2908693,2015-04-26
2908693,2015-07-16
2908693,2015-08-14
4095896,2015-08-31
4095896,2015-09-15
3345769,2015-06-08
6430450,2015-06-14
6430450,2015-06-22
6430450,2015-07-06
6430450,2015-07-24
6430450,2015-07-28
6430450,2015-08-01
6430450,2015-09-07
6430450,2015-09-11
6519569,2015-06-07
6519569,2015-06-09
6519569,2015-06-13
6519569,2015-07-03
6519569,2015-07-06
6519569,2015-07-22
6519569,2015-08-01
6519569,2015-08-05
6519569,2015-08-12
6519569,2015-08-21
